sku,brand,model,gtin,hsn,title,description,category,sub_category,mrp,selling_price,gst_rate,availability,condition,installation_included,warranty_months,weight_kg,length_mm,width_mm,height_mm,capacity,color,star_rating,inverter,rating_value,rating_count,image_files,stock_count,compressor_warranty_months,highlights,faqs
SAMPLE-RF-001,Voltas,RSD2653MF,8900000000017,84181010,Voltas 260L Frost Free Double Door Refrigerator,Frost-free double door refrigerator with toughened glass shelves and a dedicated vegetable crisper. Suited to families of three to four.,Refrigerator,Double Door,32990,27450,18,in_stock,new,true,12,58.5,595,650,1670,260L,Steel Grey,3,true,4.6,128,placeholder.svg,3,120,,Does the price include installation? :: Yes — standard installation within city limits is included and handled by our own team.|What is the delivery time? :: Two to four business days for most addresses. We confirm the date with you directly.|Is the warranty the manufacturer's? :: Yes. Warranty is registered in your name and serviced through the brand's authorised network.
SAMPLE-RF-002,LG,GL-S292RDSY,8900000000024,84181010,LG 260L Frost Free Double Door Refrigerator with Smart Inverter,Smart inverter compressor with a ten year warranty and door cooling for faster chilling across every shelf.,Refrigerator,Double Door,36490,29990,18,in_stock,new,true,12,57,595,668,1720,260L,Dazzle Steel,4,true,4.5,342,placeholder.svg,,120,,Does the price include installation? :: Yes — standard installation within city limits is included and handled by our own team.|What is the delivery time? :: Two to four business days for most addresses. We confirm the date with you directly.|Is the warranty the manufacturer's? :: Yes. Warranty is registered in your name and serviced through the brand's authorised network.
SAMPLE-RF-003,Samsung,RT28C3732S8,8900000000031,84181010,Samsung 236L Frost Free Double Door Refrigerator,Digital inverter compressor with a stabiliser-free operation range and a convertible freezer compartment.,Refrigerator,Double Door,31900,25490,18,in_stock,new,true,12,52,555,637,1545,236L,Elegant Inox,3,true,4.4,211,placeholder.svg,,120,,Does the price include installation? :: Yes — standard installation within city limits is included and handled by our own team.|What is the delivery time? :: Two to four business days for most addresses. We confirm the date with you directly.|Is the warranty the manufacturer's? :: Yes. Warranty is registered in your name and serviced through the brand's authorised network.
SAMPLE-RF-004,Whirlpool,WDE 205 CLS,8900000000048,84181010,Whirlpool 190L Direct Cool Single Door Refrigerator,Direct cool single door refrigerator with insulated capillary technology that holds cooling for hours during a power cut.,Refrigerator,Single Door,21500,17990,18,in_stock,new,false,12,36,530,540,1170,190L,Wine Chromatic,4,false,4.2,96,placeholder.svg,3,,,Does the price include installation? :: Yes — standard installation within city limits is included and handled by our own team.|What is the delivery time? :: Two to four business days for most addresses. We confirm the date with you directly.|Is the warranty the manufacturer's? :: Yes. Warranty is registered in your name and serviced through the brand's authorised network.
SAMPLE-RF-005,Godrej,RD EDGERIO 207C,8900000000055,84181010,Godrej 205L Direct Cool Single Door Refrigerator,Direct cool single door refrigerator with an anti-bacterial vegetable tray and a large bottle space in the door.,Refrigerator,Single Door,22990,18490,18,in_stock,new,false,12,35,540,555,1180,205L,Aqua Blue,5,false,4.3,74,placeholder.svg,,,,
SAMPLE-RF-006,Haier,HRB-3664PKG,8900000000062,84181010,Haier 355L Frost Free Bottom Mounted Refrigerator,Bottom mounted freezer so the fresh food compartment sits at eye level. Twin inverter technology and a 1 hour icing feature.,Refrigerator,Bottom Freezer,48990,39990,18,in_stock,new,true,12,68,595,678,1800,355L,Black Glass,3,true,4.5,158,placeholder.svg,,120,,
SAMPLE-RF-007,Samsung,RS76CG8003S9,8900000000079,84181010,Samsung 653L Side by Side Refrigerator with SpaceMax,"Side by side refrigerator with SpaceMax insulation for more interior volume in the same footprint, and a twin cooling system.",Refrigerator,Side by Side,105900,84990,18,in_stock,new,true,24,110,912,716,1780,653L,Refined Inox,3,true,4.7,412,placeholder.svg,3,120,,
SAMPLE-RF-008,LG,GC-B247SLUV,8900000000086,84181010,LG 655L Side by Side Refrigerator with Door Cooling,Linear cooling holds temperature within one degree of the set point. Hygiene fresh filter and an in-door water dispenser.,Refrigerator,Side by Side,98990,79490,18,in_stock,new,true,24,113,913,738,1790,655L,Platinum Silver,3,true,4.6,289,placeholder.svg,,120,,
SAMPLE-RF-009,Haier,HRF-758SS,8900000000093,84181010,Haier 630L French Door Refrigerator,"Four door French design with a convertible zone that switches between fridge and freezer, and a deodoriser filter.",Refrigerator,French Door,132900,104990,18,preorder,new,true,24,124,908,730,1830,630L,Satin Steel,3,true,,,placeholder.svg,,120,,
SAMPLE-RF-010,Voltas,RSB4053SF,8900000000109,84181010,Voltas 400L Frost Free Double Door Refrigerator,Large capacity frost free refrigerator with a convertible freezer and toughened glass shelves rated to hold heavy vessels.,Refrigerator,Double Door,54990,43990,18,in_stock,new,true,12,74,700,690,1790,400L,Dark Steel,4,true,4.4,63,placeholder.svg,3,120,,
